mode,N,threads,mean_seconds,speedup
omp_cuadrantes,110005,1,16.302063,0.9954433987894661
omp_cuadrantes,110005,2,8.900469,1.8232501006407642
omp_cuadrantes,110005,4,5.515804,2.9420517842911025
omp_cuadrantes,110005,8,5.791406,2.8020451337723515
omp_cuadrantes,110005,16,5.629156,2.8828088971064223
omp_indivisible,110005,1,16.528351,0.9818148828034932
omp_indivisible,110005,2,8.869286,1.8296603582295123
omp_indivisible,110005,4,5.55708,2.920199277318304
omp_indivisible,110005,8,4.637103,3.499551551906438
omp_indivisible,110005,16,4.571209,3.549997604572445
serial,110005,1,16.227781,1.0
